"Points:0","Points:1","Points:2"
70.587,-29.173,200.26
71.233,-24.598,200.66
70.634,-23.823,197.13
69.986,-28.402,196.72
67.235,-28.672,200.76
67.86,-24.195,201.16
67.312,-23.443,197.71
66.69,-27.929,197.31
64.061,-28.293,201.26
64.684,-23.899,201.66
64.146,-23.162,198.29
63.53,-27.574,197.89
46.55,86.955,234.38
42.228,90.387,235.02
42.76,92.06,231.1
47.1,88.523,230.49
43.654,83.92,233.01
39.716,87.105,233.61
40.156,88.579,229.82
44.112,85.337,229.25
41.283,81.432,231.87
37.619,84.343,232.42
38.03,85.691,228.76
41.689,82.728,228.23
39.175,79.128,230.87
35.565,81.46,231.35
35.877,82.445,227.8
39.463,80.139,227.31
41.133,-16.466,281.89
37.883,-16.318,283.63
39.273,-15.883,278.64
36.185,-15.727,280.31
37.582,-15.328,275.69
34.636,-15.163,277.29
36.053,-14.801,273.01
33.229,-14.625,274.55
14.726,107.04,163.97
14.01,106.76,167.62
9.3509,108.8,167.32
9.7772,109.39,163.85
13.401,103.85,163.57
12.819,103.59,167.02
8.5683,105.18,166.66
9.0224,105.57,163.36
12.714,99.116,163.09
12.049,98.871,166.32
7.9836,99.558,165.7
8.5424,99.841,162.67
56.946,55.749,118.04
57.547,55.198,120.8
56.935,59.013,120.69
56.303,59.32,117.75
53.28,54.838,119.5
53.855,54.341,122.22
53.308,57.942,122.13
52.689,58.201,119.26
49.905,53.845,121.09
50.457,53.406,123.78
49.996,56.907,123.71
49.4,57.129,120.88
46.609,53.106,122.41
47.16,52.698,125.11
46.826,56.12,125.05
46.242,56.329,122.23
13.562,115.4,96.679
13.483,113.57,92.345
17.643,111.84,93.031
17.756,113.67,97.277
12.278,111.17,99.768
12.194,109.84,96.115
15.98,108.19,96.62
16.096,109.56,100.24
11.411,108.16,102.66
11.384,107.37,99.287
14.937,105.71,99.598
14.975,106.57,102.96
10.727,105.89,105.1
10.771,105.68,101.88
14.15,104.01,101.97
14.082,104.34,105.19
33.26,-63.036,267.7
34.062,-65.135,265.08
30.94,-66.595,265.35
30.176,-64.383,268.05
31.795,-60.732,265.01
32.562,-62.719,262.58
29.603,-64.094,262.85
28.895,-61.993,265.36
30.411,-58.673,262.53
31.154,-60.533,260.26
28.329,-61.832,260.53
27.647,-59.86,262.88
29.109,-56.841,260.26
29.839,-58.562,258.1
27.122,-59.793,258.38
26.439,-57.969,260.63
60.605,41.418,254.57
61.657,42.501,251.34
63.256,38.117,250.8
62.107,37.119,254.03
57.361,40.387,253.11
58.381,41.45,250.02
59.923,37.151,249.48
58.843,36.189,252.59
54.414,39.467,251.65
55.391,40.499,248.68
56.899,36.267,248.16
55.869,35.338,251.15
51.733,38.656,250.21
52.662,39.646,247.36
54.15,35.453,246.86
53.166,34.559,249.73
55.719,16.688,271.43
57.987,17.035,268.61
58.437,13.107,268.58
56.052,12.836,271.36
52.839,16.384,268.97
54.982,16.683,266.31
55.475,12.845,266.27
53.243,12.622,268.93
50.274,16.045,266.7
52.31,16.303,264.18
52.822,12.544,264.12
50.714,12.363,266.65
47.99,15.671,264.61
49.925,15.892,262.19
50.446,12.201,262.12
48.442,12.059,264.55
3.9484,45.827,292.11
3.9112,41.687,293.25
0,42.117,293.35
0,46.279,292.21
3.7333,44.746,288.42
3.6947,40.772,289.5
0,41.217,289.68
0,45.209,288.58
3.5359,43.77,285.09
3.4983,39.946,286.11
0,40.372,286.26
0,44.212,285.22
3.3489,42.904,282.09
3.3131,39.214,283.06
0,39.599,283.08
0,43.299,282.1
66.687,46.84,161.94
65.658,47.284,158.56
65.791,42.448,158.57
66.867,41.968,161.9
62.899,46.334,162.83
61.977,46.678,159.59
62.16,42.078,159.53
63.153,41.653,162.78
59.269,45.678,163.67
58.416,45.825,160.7
58.622,41.422,160.54
59.567,41.18,163.63
54.932,43.794,164.56
54.327,44.106,161.87
54.593,39.979,161.67
55.336,39.609,164.56
24.876,60.72,281.55
20.966,62.04,282.29
21.502,65.545,280.08
25.522,64.133,279.39
23.505,58.867,278.23
19.821,60.117,278.92
20.318,63.424,276.81
24.097,62.085,276.16
22.303,57.329,275.37
18.811,58.515,276.02
19.286,61.671,274.01
22.863,60.4,273.39
21.247,56.073,272.9
17.922,57.2,273.52
18.389,60.236,271.6
21.795,59.031,271.01
15.369,43.905,290.8
15.217,39.89,291.88
11.501,40.545,292.5
11.618,44.61,291.39
14.573,42.879,287.15
14.426,39.02,288.15
10.894,39.652,288.73
11.009,43.559,287.71
13.831,41.986,283.91
13.694,38.263,284.87
10.334,38.873,285.41
10.443,42.64,284.44
13.141,41.225,281.07
13.013,37.616,281.98
9.8131,38.205,282.49
9.9157,41.853,281.57
41.254,97.377,148.08
41.746,97.114,152
38.131,99.842,152.01
37.698,100.15,148.06
39.034,94.319,149.2
39.586,94.03,153.11
36.166,96.656,153.03
35.687,96.984,149.09
37.14,91.506,150.49
37.829,91.174,154.49
34.547,93.69,154.31
33.95,94.049,150.29
35.508,88.932,151.74
36.42,88.527,155.88
33.209,90.95,155.6
32.433,91.357,151.46
26.449,45.171,287.07
26.153,41.433,288.21
22.669,42.322,289.26
22.942,46.148,288.07
25.054,44.065,283.58
24.784,40.488,284.67
21.484,41.341,285.64
21.738,45.008,284.52
